02/03/2019,GGS ,0
02/04/2019,GGS ,0
02/05/2019,GGS ,0
02/06/2019,GGS ,0
02/07/2019,GGS ,0
02/08/2019,GGS ,0
02/09/2019,GGS ,0
02/10/2019,GGS ,0
02/11/2019,GGS ,0
02/12/2019,GGS ,0
02/13/2019,GGS ,0
02/14/2019,GGS ,0
02/15/2019,GGS ,0
02/16/2019,GGS ,0
02/17/2019,GGS ,0
02/18/2019,GGS ,0
02/19/2019,GGS ,0
02/20/2019,GGS ,0
02/21/2019,GGS ,0
02/22/2019,GGS ,0
02/23/2019,GGS ,0
02/24/2019,GGS ,0
02/25/2019,GGS ,0
02/26/2019,GGS ,0
02/27/2019,GGS ,0
02/28/2019,GGS ,66530
03/01/2019,GGS ,5556
03/02/2019,GGS ,4854
03/03/2019,GGS ,4602
03/04/2019,GGS ,2944
03/05/2019,GGS ,5242
03/06/2019,GGS ,5402
03/07/2019,GGS ,5832
03/08/2019,GGS ,5877
03/09/2019,GGS ,6379
03/10/2019,GGS ,5994
03/11/2019,GGS ,6045
03/12/2019,GGS ,5023
03/13/2019,GGS ,6407
03/14/2019,GGS ,5269
03/15/2019,GGS ,4353
03/16/2019,GGS ,5142
03/17/2019,GGS ,5250
03/18/2019,GGS ,5566
03/19/2019,GGS ,6123
03/20/2019,GGS ,3517
03/21/2019,GGS ,0
03/22/2019,GGS ,3964
03/23/2019,GGS ,5374
03/24/2019,GGS ,5391
03/25/2019,GGS ,6302
03/26/2019,GGS ,5795
03/27/2019,GGS ,7026
03/28/2019,GGS ,6540
03/29/2019,GGS ,6024
03/30/2019,GGS ,7027
03/31/2019,GGS ,6556
04/01/2019,GGS ,6653
04/02/2019,GGS ,2294
04/03/2019,GGS ,5088
04/04/2019,GGS ,5703
04/05/2019,GGS ,5717
04/06/2019,GGS ,5752
04/07/2019,GGS ,5265
04/08/2019,GGS ,4620
04/09/2019,GGS ,4954
04/10/2019,GGS ,5712
04/11/2019,GGS ,6661
04/12/2019,GGS ,5699
04/13/2019,GGS ,6032
04/14/2019,GGS ,5799
04/15/2019,GGS ,5660
04/16/2019,GGS ,5692
04/17/2019,GGS ,5488
04/18/2019,GGS ,5602
04/19/2019,GGS ,6069
04/20/2019,GGS ,6209
04/21/2019,GGS ,6595
04/22/2019,GGS ,5867
04/23/2019,GGS ,5280
04/24/2019,GGS ,4762
04/25/2019,GGS ,5388
04/26/2019,GGS ,6076
04/27/2019,GGS ,5711
04/28/2019,GGS ,4936
04/29/2019,GGS ,5406
04/30/2019,GGS ,4941
05/01/2019,GGS ,4991
05/02/2019,GGS ,4783
05/03/2019,GGS ,4792
05/04/2019,GGS ,5117
05/05/2019,GGS ,5189
05/06/2019,GGS ,5713
05/07/2019,GGS ,5786
05/08/2019,GGS ,5380
05/09/2019,GGS ,7318
05/10/2019,GGS ,7244
05/11/2019,GGS ,6628
05/12/2019,GGS ,6875
05/13/2019,GGS ,5790
05/14/2019,GGS ,5986
05/15/2019,GGS ,7095
05/16/2019,GGS ,6415
05/17/2019,GGS ,4951
05/18/2019,GGS ,4913
05/19/2019,GGS ,5896
05/20/2019,GGS ,6949
05/21/2019,GGS ,6838
05/22/2019,GGS ,6159
05/23/2019,GGS ,6283
05/24/2019,GGS ,5386
05/25/2019,GGS ,5461
05/26/2019,GGS ,5251
05/27/2019,GGS ,5282
05/28/2019,GGS ,5855
05/29/2019,GGS ,5695
05/30/2019,GGS ,5909
05/31/2019,GGS ,5909
06/01/2019,GGS ,6300
06/02/2019,GGS ,6353
06/03/2019,GGS ,5563
06/04/2019,GGS ,6126
06/05/2019,GGS ,5857
06/06/2019,GGS ,5702
06/07/2019,GGS ,5550
06/08/2019,GGS ,5391
06/09/2019,GGS ,6269
06/10/2019,GGS ,5535
06/11/2019,GGS ,1934
06/12/2019,GGS ,3017
06/13/2019,GGS ,6282
06/14/2019,GGS ,5513
06/15/2019,GGS ,6121
06/16/2019,GGS ,5569
06/17/2019,GGS ,6361
06/18/2019,GGS ,5958
06/19/2019,GGS ,5467
06/20/2019,GGS ,6003
06/21/2019,GGS ,6172
06/22/2019,GGS ,4156
06/23/2019,GGS ,3961
06/24/2019,GGS ,5599
06/25/2019,GGS ,5247
06/26/2019,GGS ,6369
06/27/2019,GGS ,6360
06/28/2019,GGS ,4077
06/29/2019,GGS ,2554
06/30/2019,GGS ,3209
07/01/2019,GGS ,0
07/02/2019,GGS ,0
07/03/2019,GGS ,0
07/04/2019,GGS ,0
07/05/2019,GGS ,0
07/06/2019,GGS ,0
07/07/2019,GGS ,0
07/08/2019,GGS ,0
07/09/2019,GGS ,0
07/10/2019,GGS ,0
07/11/2019,GGS ,0
07/12/2019,GGS ,0
07/13/2019,GGS ,0
07/14/2019,GGS ,0
07/15/2019,GGS ,0
07/16/2019,GGS ,0
07/17/2019,GGS ,0
07/18/2019,GGS ,0
07/19/2019,GGS ,0
07/20/2019,GGS ,0
07/21/2019,GGS ,0
07/22/2019,GGS ,0
07/23/2019,GGS ,0
07/24/2019,GGS ,0
07/25/2019,GGS ,0
07/26/2019,GGS ,0
07/27/2019,GGS ,0
07/28/2019,GGS ,0
07/29/2019,GGS ,0
07/30/2019,GGS ,0
07/31/2019,GGS ,0
07/31/2019,GGS ,109383
08/01/2019,GGS ,589
08/02/2019,GGS ,143
08/03/2019,GGS ,0
08/04/2019,GGS ,199
08/05/2019,GGS ,2894
08/06/2019,GGS ,2360
08/07/2019,GGS ,25
08/08/2019,GGS ,0
08/09/2019,GGS ,0
08/10/2019,GGS ,0
08/11/2019,GGS ,0
08/12/2019,GGS ,173
08/13/2019,GGS ,744
08/14/2019,GGS ,0
08/15/2019,GGS ,0
08/16/2019,GGS ,664
08/17/2019,GGS ,1135
08/18/2019,GGS ,1771
08/19/2019,GGS ,1838
08/20/2019,GGS ,384
08/21/2019,GGS ,432
08/22/2019,GGS ,1696
08/23/2019,GGS ,713
08/24/2019,GGS ,2057
08/25/2019,GGS ,1454
08/26/2019,GGS ,463
08/27/2019,GGS ,1321
08/28/2019,GGS ,1826
08/29/2019,GGS ,2147
08/30/2019,GGS ,1776
08/31/2019,GGS ,1776
09/01/2019,GGS ,1157
09/02/2019,GGS ,1908
09/03/2019,GGS ,1764
09/04/2019,GGS ,0
09/05/2019,GGS ,1446
09/06/2019,GGS ,648
09/07/2019,GGS ,1099
09/08/2019,GGS ,3248
09/09/2019,GGS ,2314
09/10/2019,GGS ,3454
09/11/2019,GGS ,2978
09/12/2019,GGS ,1516
09/13/2019,GGS ,2954
09/14/2019,GGS ,1750
09/15/2019,GGS ,3571
09/16/2019,GGS ,2958
09/17/2019,GGS ,2487
09/18/2019,GGS ,2466
09/19/2019,GGS ,690
09/20/2019,GGS ,231
09/21/2019,GGS ,3321
09/22/2019,GGS ,2719
09/23/2019,GGS ,3144
09/24/2019,GGS ,
09/25/2019,GGS ,2243
04/30/2018,HLSG,62039
05/31/2018,HLSG,42856
06/30/2018,HLSG,4931
